scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
talihsiz-vahim,O spor müsabakasının sonucu talihsizmiş.,O spor müsabakasının sonucu vahimmiş.,O spor müsabakasının sonucu talihsiz değilmiş.,O spor müsabakasının sonucu vahim değilmiş.,"O spor müsabakasının sonucu talihsizmiş, hatta vahimmiş.","O spor müsabakasının sonucu talihsizmiş, belki de vahimmiş.",O spor müsabakasının sonucu talihsizmiş ama vahim değilmiş.,"O spor müsabakasının sonucu vahim değilmiş, hatta talihsiz bile değilmiş.","O spor müsabakasının sonucu vahim değilmiş, belki talihsiz bile değilmiş.",O spor müsabakasının sonucu vahim değilmiş ama talihsizmiş.
talihsiz-vahim,Bu ateşkes anlaşması talihsiz.,Bu ateşkes anlaşması vahim.,Bu ateşkes anlaşması talihsiz değil.,Bu ateşkes anlaşması vahim değil.,"Bu ateşkes anlaşması talihsiz, hatta vahim.","Bu ateşkes anlaşması talihsiz, belki de vahim.",Bu ateşkes anlaşması talihsiz ama vahim değil.,"Bu ateşkes anlaşması vahim değil, hatta talihsiz bile değil.","Bu ateşkes anlaşması vahim değil, belki talihsiz bile değil.",Bu ateşkes anlaşması vahim değil ama talihsiz.
talihsiz-vahim,Geçen sene meydana gelen helikopter kazası talihsizdi.,Geçen sene meydana gelen helikopter kazası vahimdi.,Geçen sene meydana gelen helikopter kazası talihsiz değildi.,Geçen sene meydana gelen helikopter kazası vahim değildi.,"Geçen sene meydana gelen helikopter kazası talihsizdi, hatta vahimdi.","Geçen sene meydana gelen helikopter kazası talihsizdi, belki de vahimdi.",Geçen sene meydana gelen helikopter kazası talihsizdi ama vahim değildi.,"Geçen sene meydana gelen helikopter kazası vahim değildi, hatta talihsiz bile değildi.","Geçen sene meydana gelen helikopter kazası vahim değildi, belki talihsiz bile değildi.",Geçen sene meydana gelen helikopter kazası vahim değildi ama talihsizdi.
talihsiz-vahim,Asya'da meydana gelen bu kuraklık onlar için talihsiz.,Asya'da meydana gelen bu kuraklık onlar için vahim.,Asya'da meydana gelen bu kuraklık onlar için talihsiz değil.,Asya'da meydana gelen bu kuraklık onlar için vahim değil.,"Asya'da meydana gelen bu kuraklık onlar için talihsiz, hatta vahim.","Asya'da meydana gelen bu kuraklık onlar için talihsiz, belki de vahim.",Asya'da meydana gelen bu kuraklık onlar için talihsiz ama vahim değil.,"Asya'da meydana gelen bu kuraklık onlar için vahim değil, hatta talihsiz bile değil.","Asya'da meydana gelen bu kuraklık onlar için vahim değil, belki talihsiz bile değil.",Asya'da meydana gelen bu kuraklık onlar için vahim değil ama talihsiz.
talihsiz-vahim,İşler yoluna girmişken çıkan grev talihsiz.,İşler yoluna girmişken çıkan grev vahim.,İşler yoluna girmişken çıkan grev talihsiz değil.,İşler yoluna girmişken çıkan grev vahim değil.,"İşler yoluna girmişken çıkan grev talihsiz, hatta vahim.","İşler yoluna girmişken çıkan grev talihsiz, belki de vahim.",İşler yoluna girmişken çıkan grev talihsiz ama vahim değil.,"İşler yoluna girmişken çıkan grev vahim değil, hatta talihsiz bile değil.","İşler yoluna girmişken çıkan grev vahim değil, belki talihsiz bile değil.",İşler yoluna girmişken çıkan grev vahim değil ama talihsiz.
talihsiz-vahim,Bu gerileme onlar için talihsizmiş.,Bu gerileme onlar için vahimmiş.,Bu gerileme onlar için talihsiz değilmiş.,Bu gerileme onlar için vahim değilmiş.,"Bu gerileme onlar için talihsizmiş, hatta vahimmiş.","Bu gerileme onlar için talihsizmiş, belki de vahimmiş.",Bu gerileme onlar için talihsizmiş ama vahim değilmiş.,"Bu gerileme onlar için vahim değilmiş, hatta talihsiz bile değilmiş.","Bu gerileme onlar için vahim değilmiş, belki talihsiz bile değilmiş.",Bu gerileme onlar için vahim değilmiş ama talihsizmiş.
yanıltıcı-yalan,Gazetede çıkan haberler yanıltıcıydı.,Gazetede çıkan haberler yalandı.,Gazetede çıkan haberler yanıltıcı değildi.,Gazetede çıkan haberler yalan değildi.,"Gazetede çıkan haberler yanıltıcıydı, hatta yalandı.","Gazetede çıkan haberler yanıltıcıydı, belki de yalandı.",Gazetede çıkan haberler yanıltıcıydı ama yalan değildi.,"Gazetede çıkan haberler yalan değildi, hatta yanıltıcı bile değildi.","Gazetede çıkan haberler yalan değildi, belki yanıltıcı bile değildi.",Gazetede çıkan haberler yalan değildi ama yanıltıcıydı.
yanıltıcı-yalan,Şirket raporları yanıltıcıydı.,Şirket raporları yalandı.,Şirket raporları yanıltıcı değildi.,Şirket raporları yalan değildi.,"Şirket raporları yanıltıcıydı, hatta yalandı.","Şirket raporları yanıltıcıydı, belki de yalandı.",Şirket raporları yanıltıcıydı ama yalan değildi.,"Şirket raporları yalan değildi, hatta yanıltıcı bile değildi.","Şirket raporları yalan değildi, belki yanıltıcı bile değildi.",Şirket raporları yalan değildi ama yanıltıcıydı.
yanıltıcı-yalan,Bu dairenin deprem testi yanıltıcı.,Bu dairenin deprem testi yalan.,Bu dairenin deprem testi yanıltıcı değil.,Bu dairenin deprem testi yalan değil.,"Bu dairenin deprem testi yanıltıcı, hatta yalan.","Bu dairenin deprem testi yanıltıcı, belki de yalan.",Bu dairenin deprem testi yanıltıcı ama yalan değil.,"Bu dairenin deprem testi yalan değil, hatta yanıltıcı bile değil.","Bu dairenin deprem testi yalan değil, belki yanıltıcı bile değil.",Bu dairenin deprem testi yalan değil ama yanıltıcı.
yanıltıcı-yalan,Öğrenci kulübünün etkinliğine dair bilgiler yanıltıcıymış.,Öğrenci kulübünün etkinliğine dair bilgiler yalanmış.,Öğrenci kulübünün etkinliğine dair bilgiler yanıltıcı değilmiş.,Öğrenci kulübünün etkinliğine dair bilgiler yalan değilmiş.,"Öğrenci kulübünün etkinliğine dair bilgiler yanıltıcıymış, hatta yalanmış.","Öğrenci kulübünün etkinliğine dair bilgiler yanıltıcıymış, belki de yalanmış.",Öğrenci kulübünün etkinliğine dair bilgiler yanıltıcıymış ama yalan değilmiş.,"Öğrenci kulübünün etkinliğine dair bilgiler yalan değilmiş, hatta yanıltıcı bile değilmiş.","Öğrenci kulübünün etkinliğine dair bilgiler yalan değilmiş, belki yanıltıcı bile değilmiş.",Öğrenci kulübünün etkinliğine dair bilgiler yalan değilmiş ama yanıltıcıymış.
yanıltıcı-yalan,Bu şirketin reklamlarında söylenenler yanıltıcı.,Bu şirketin reklamlarında söylenenler yalan.,Bu şirketin reklamlarında söylenenler yanıltıcı değil.,Bu şirketin reklamlarında söylenenler yalan değil.,"Bu şirketin reklamlarında söylenenler yanıltıcı, hatta yalan.","Bu şirketin reklamlarında söylenenler yanıltıcı, belki de yalan.",Bu şirketin reklamlarında söylenenler yanıltıcı ama yalan değil.,"Bu şirketin reklamlarında söylenenler yalan değil, hatta yanıltıcı bile değil.","Bu şirketin reklamlarında söylenenler yalan değil, belki yanıltıcı bile değil.",Bu şirketin reklamlarında söylenenler yalan değil ama yanıltıcı.
yanıltıcı-yalan,Markette satılan ürünlerinizin açıklamaları yanıltıcı.,Markette satılan ürünlerinizin açıklamaları yalan.,Markette satılan ürünlerinizin açıklamaları yanıltıcı değil.,Markette satılan ürünlerinizin açıklamaları yalan değil.,"Markette satılan ürünlerinizin açıklamaları yanıltıcı, hatta yalan.","Markette satılan ürünlerinizin açıklamaları yanıltıcı, belki de yalan.",Markette satılan ürünlerinizin açıklamaları yanıltıcı ama yalan değil.,"Markette satılan ürünlerinizin açıklamaları yalan değil, hatta yanıltıcı bile değil.","Markette satılan ürünlerinizin açıklamaları yalan değil, belki yanıltıcı bile değil.",Markette satılan ürünlerinizin açıklamaları yalan değil ama yanıltıcı.
yanıltıcı-yalan,Uçak kazasına dair yapılan açıklamalar yanıltıcı.,Uçak kazasına dair yapılan açıklamalar yalan.,Uçak kazasına dair yapılan açıklamalar yanıltıcı değil.,Uçak kazasına dair yapılan açıklamalar yalan değil.,"Uçak kazasına dair yapılan açıklamalar yanıltıcı, hatta yalan.","Uçak kazasına dair yapılan açıklamalar yanıltıcı, belki de yalan.",Uçak kazasına dair yapılan açıklamalar yanıltıcı ama yalan değil.,"Uçak kazasına dair yapılan açıklamalar yalan değil, hatta yanıltıcı bile değil.","Uçak kazasına dair yapılan açıklamalar yalan değil, belki yanıltıcı bile değil.",Uçak kazasına dair yapılan açıklamalar yalan değil ama yanıltıcı.
yanıltıcı-yalan,Siyasilerin lafları yanıltıcı.,Siyasilerin lafları yalan.,Siyasilerin lafları yanıltıcı değil.,Siyasilerin lafları yalan değil.,"Siyasilerin lafları yanıltıcı, hatta yalan.","Siyasilerin lafları yanıltıcı, belki de yalan.",Siyasilerin lafları yanıltıcı ama yalan değil.,"Siyasilerin lafları yalan değil, hatta yanıltıcı bile değil.","Siyasilerin lafları yalan değil, belki yanıltıcı bile değil.",Siyasilerin lafları yalan değil ama yanıltıcı.
yanıltıcı-yalan,Matematik öğretmeninin anlattıkları yanıltıcıydı.,Matematik öğretmeninin anlattıkları yalandı.,Matematik öğretmeninin anlattıkları yanıltıcı değildi.,Matematik öğretmeninin anlattıkları yalan değildi.,"Matematik öğretmeninin anlattıkları yanıltıcıydı, hatta yalandı.","Matematik öğretmeninin anlattıkları yanıltıcıydı, belki de yalandı.",Matematik öğretmeninin anlattıkları yanıltıcıydı ama yalan değildi.,"Matematik öğretmeninin anlattıkları yalan değildi, hatta yanıltıcı bile değildi.","Matematik öğretmeninin anlattıkları yalan değildi, belki yanıltıcı bile değildi.",Matematik öğretmeninin anlattıkları yalan değildi ama yanıltıcıydı.
yanıltıcı-yalan,Yönetim kuruluna yapılan savunma yanıltıcıydı.,Yönetim kuruluna yapılan savunma yalandı.,Yönetim kuruluna yapılan savunma yanıltıcı değildi.,Yönetim kuruluna yapılan savunma yalan değildi.,"Yönetim kuruluna yapılan savunma yanıltıcıydı, hatta yalandı.","Yönetim kuruluna yapılan savunma yanıltıcıydı, belki de yalandı.",Yönetim kuruluna yapılan savunma yanıltıcıydı ama yalan değildi.,"Yönetim kuruluna yapılan savunma yalan değildi, hatta yanıltıcı bile değildi.","Yönetim kuruluna yapılan savunma yalan değildi, belki yanıltıcı bile değildi.",Yönetim kuruluna yapılan savunma yalan değildi ama yanıltıcıydı.
yanıltıcı-yalan,Dizinin geçen haftaki reytingleri yanıltıcıymış.,Dizinin geçen haftaki reytingleri yalanmış.,Dizinin geçen haftaki reytingleri yanıltıcı değilmiş.,Dizinin geçen haftaki reytingleri yalan değilmiş.,"Dizinin geçen haftaki reytingleri yanıltıcıymış, hatta yalanmış.","Dizinin geçen haftaki reytingleri yanıltıcıymış, belki de yalanmış.",Dizinin geçen haftaki reytingleri yanıltıcıymış ama yalan değilmiş.,"Dizinin geçen haftaki reytingleri yalan değilmiş, hatta yanıltıcı bile değilmiş.","Dizinin geçen haftaki reytingleri yalan değilmiş, belki yanıltıcı bile değilmiş.",Dizinin geçen haftaki reytingleri yalan değilmiş ama yanıltıcıymış.
yanıltıcı-yalan,Doktorların bize anlattıkları yanıltıcı.,Doktorların bize anlattıkları yalan.,Doktorların bize anlattıkları yanıltıcı değil.,Doktorların bize anlattıkları yalan değil.,"Doktorların bize anlattıkları yanıltıcı, hatta yalan.","Doktorların bize anlattıkları yanıltıcı, belki de yalan.",Doktorların bize anlattıkları yanıltıcı ama yalan değil.,"Doktorların bize anlattıkları yalan değil, hatta yanıltıcı bile değil.","Doktorların bize anlattıkları yalan değil, belki yanıltıcı bile değil.",Doktorların bize anlattıkları yalan değil ama yanıltıcı.
yanıltıcı-yalan,Belediye başkanının kampanyaları yanıltıcı.,Belediye başkanının kampanyaları yalan.,Belediye başkanının kampanyaları yanıltıcı değil.,Belediye başkanının kampanyaları yalan değil.,"Belediye başkanının kampanyaları yanıltıcı, hatta yalan.","Belediye başkanının kampanyaları yanıltıcı, belki de yalan.",Belediye başkanının kampanyaları yanıltıcı ama yalan değil.,"Belediye başkanının kampanyaları yalan değil, hatta yanıltıcı bile değil.","Belediye başkanının kampanyaları yalan değil, belki yanıltıcı bile değil.",Belediye başkanının kampanyaları yalan değil ama yanıltıcı.
yanıltıcı-yalan,Sosyal medyanın yaydığı bilgiler yanıltıcı.,Sosyal medyanın yaydığı bilgiler yalan.,Sosyal medyanın yaydığı bilgiler yanıltıcı değil.,Sosyal medyanın yaydığı bilgiler yalan değil.,"Sosyal medyanın yaydığı bilgiler yanıltıcı, hatta yalan.","Sosyal medyanın yaydığı bilgiler yanıltıcı, belki de yalan.",Sosyal medyanın yaydığı bilgiler yanıltıcı ama yalan değil.,"Sosyal medyanın yaydığı bilgiler yalan değil, hatta yanıltıcı bile değil.","Sosyal medyanın yaydığı bilgiler yalan değil, belki yanıltıcı bile değil.",Sosyal medyanın yaydığı bilgiler yalan değil ama yanıltıcı.
yanıltıcı-yalan,Projenin son haliyle ilgili vaadedilenler yanıltıcı.,Projenin son haliyle ilgili vaadedilenler yalan.,Projenin son haliyle ilgili vaadedilenler yanıltıcı değil.,Projenin son haliyle ilgili vaadedilenler yalan değil.,"Projenin son haliyle ilgili vaadedilenler yanıltıcı, hatta yalan.","Projenin son haliyle ilgili vaadedilenler yanıltıcı, belki de yalan.",Projenin son haliyle ilgili vaadedilenler yanıltıcı ama yalan değil.,"Projenin son haliyle ilgili vaadedilenler yalan değil, hatta yanıltıcı bile değil.","Projenin son haliyle ilgili vaadedilenler yalan değil, belki yanıltıcı bile değil.",Projenin son haliyle ilgili vaadedilenler yalan değil ama yanıltıcı.
yanıltıcı-yalan,Mağazan hakkında paylaştığın rakamlar yanıltıcı.,Mağazan hakkında paylaştığın rakamlar yalan.,Mağazan hakkında paylaştığın rakamlar yanıltıcı değil.,Mağazan hakkında paylaştığın rakamlar yalan değil.,"Mağazan hakkında paylaştığın rakamlar yanıltıcı, hatta yalan.","Mağazan hakkında paylaştığın rakamlar yanıltıcı, belki de yalan.",Mağazan hakkında paylaştığın rakamlar yanıltıcı ama yalan değil.,"Mağazan hakkında paylaştığın rakamlar yalan değil, hatta yanıltıcı bile değil.","Mağazan hakkında paylaştığın rakamlar yalan değil, belki yanıltıcı bile değil.",Mağazan hakkında paylaştığın rakamlar yalan değil ama yanıltıcı.
yanıltıcı-yalan,Bu şirketin sunduğu hizmetler yanıltıcı.,Bu şirketin sunduğu hizmetler yalan.,Bu şirketin sunduğu hizmetler yanıltıcı değil.,Bu şirketin sunduğu hizmetler yalan değil.,"Bu şirketin sunduğu hizmetler yanıltıcı, hatta yalan.","Bu şirketin sunduğu hizmetler yanıltıcı, belki de yalan.",Bu şirketin sunduğu hizmetler yanıltıcı ama yalan değil.,"Bu şirketin sunduğu hizmetler yalan değil, hatta yanıltıcı bile değil.","Bu şirketin sunduğu hizmetler yalan değil, belki yanıltıcı bile değil.",Bu şirketin sunduğu hizmetler yalan değil ama yanıltıcı.
yanıltıcı-yalan,Otelimizin afişleri yanıltıcı.,Otelimizin afişleri yalan.,Otelimizin afişleri yanıltıcı değil.,Otelimizin afişleri yalan değil.,"Otelimizin afişleri yanıltıcı, hatta yalan.","Otelimizin afişleri yanıltıcı, belki de yalan.",Otelimizin afişleri yanıltıcı ama yalan değil.,"Otelimizin afişleri yalan değil, hatta yanıltıcı bile değil.","Otelimizin afişleri yalan değil, belki yanıltıcı bile değil.",Otelimizin afişleri yalan değil ama yanıltıcı.
yanıltıcı-yalan,Taslakta bahsettiklerin yanıltıcı.,Taslakta bahsettiklerin yalan.,Taslakta bahsettiklerin yanıltıcı değil.,Taslakta bahsettiklerin yalan değil.,"Taslakta bahsettiklerin yanıltıcı, hatta yalan.","Taslakta bahsettiklerin yanıltıcı, belki de yalan.",Taslakta bahsettiklerin yanıltıcı ama yalan değil.,"Taslakta bahsettiklerin yalan değil, hatta yanıltıcı bile değil.","Taslakta bahsettiklerin yalan değil, belki yanıltıcı bile değil.",Taslakta bahsettiklerin yalan değil ama yanıltıcı.
yanıltıcı-yalan,Geçen yılki boşanma istatistikleri yanıltıcıymış.,Geçen yılki boşanma istatistikleri yalanmış.,Geçen yılki boşanma istatistikleri yanıltıcı değilmiş.,Geçen yılki boşanma istatistikleri yalan değilmiş.,"Geçen yılki boşanma istatistikleri yanıltıcıymış, hatta yalanmış.","Geçen yılki boşanma istatistikleri yanıltıcıymış, belki de yalanmış.",Geçen yılki boşanma istatistikleri yanıltıcıymış ama yalan değilmiş.,"Geçen yılki boşanma istatistikleri yalan değilmiş, hatta yanıltıcı bile değilmiş.","Geçen yılki boşanma istatistikleri yalan değilmiş, belki yanıltıcı bile değilmiş.",Geçen yılki boşanma istatistikleri yalan değilmiş ama yanıltıcıymış.
yanıltıcı-yalan,Bilgisayarlarda geçerli olacak indirimler yanıltıcı.,Bilgisayarlarda geçerli olacak indirimler yalan.,Bilgisayarlarda geçerli olacak indirimler yanıltıcı değil.,Bilgisayarlarda geçerli olacak indirimler yalan değil.,"Bilgisayarlarda geçerli olacak indirimler yanıltıcı, hatta yalan.","Bilgisayarlarda geçerli olacak indirimler yanıltıcı, belki de yalan.",Bilgisayarlarda geçerli olacak indirimler yanıltıcı ama yalan değil.,"Bilgisayarlarda geçerli olacak indirimler yalan değil, hatta yanıltıcı bile değil.","Bilgisayarlarda geçerli olacak indirimler yalan değil, belki yanıltıcı bile değil.",Bilgisayarlarda geçerli olacak indirimler yalan değil ama yanıltıcı.
yanıltıcı-yalan,Fizik öğretmeninin anlattıkları yanıltıcı.,Fizik öğretmeninin anlattıkları yalan.,Fizik öğretmeninin anlattıkları yanıltıcı değil.,Fizik öğretmeninin anlattıkları yalan değil.,"Fizik öğretmeninin anlattıkları yanıltıcı, hatta yalan.","Fizik öğretmeninin anlattıkları yanıltıcı, belki de yalan.",Fizik öğretmeninin anlattıkları yanıltıcı ama yalan değil.,"Fizik öğretmeninin anlattıkları yalan değil, hatta yanıltıcı bile değil.","Fizik öğretmeninin anlattıkları yalan değil, belki yanıltıcı bile değil.",Fizik öğretmeninin anlattıkları yalan değil ama yanıltıcı.
yanıltıcı-yalan,Yaşlı amcanın eski savaşlara dair dedikleri yanıltıcıydı.,Yaşlı amcanın eski savaşlara dair dedikleri yalandı.,Yaşlı amcanın eski savaşlara dair dedikleri yanıltıcı değildi.,Yaşlı amcanın eski savaşlara dair dedikleri yalan değildi.,"Yaşlı amcanın eski savaşlara dair dedikleri yanıltıcıydı, hatta yalandı.","Yaşlı amcanın eski savaşlara dair dedikleri yanıltıcıydı, belki de yalandı.",Yaşlı amcanın eski savaşlara dair dedikleri yanıltıcıydı ama yalan değildi.,"Yaşlı amcanın eski savaşlara dair dedikleri yalan değildi, hatta yanıltıcı bile değildi.","Yaşlı amcanın eski savaşlara dair dedikleri yalan değildi, belki yanıltıcı bile değildi.",Yaşlı amcanın eski savaşlara dair dedikleri yalan değildi ama yanıltıcıydı.
yanıltıcı-yalan,Tarih kitaplarında bahsedilen tarih yanıltıcı.,Tarih kitaplarında bahsedilen tarih yalan.,Tarih kitaplarında bahsedilen tarih yanıltıcı değil.,Tarih kitaplarında bahsedilen tarih yalan değil.,"Tarih kitaplarında bahsedilen tarih yanıltıcı, hatta yalan.","Tarih kitaplarında bahsedilen tarih yanıltıcı, belki de yalan.",Tarih kitaplarında bahsedilen tarih yanıltıcı ama yalan değil.,"Tarih kitaplarında bahsedilen tarih yalan değil, hatta yanıltıcı bile değil.","Tarih kitaplarında bahsedilen tarih yalan değil, belki yanıltıcı bile değil.",Tarih kitaplarında bahsedilen tarih yalan değil ama yanıltıcı.
yanıltıcı-yalan,Organizasyon sorumlusunun dile getirdikleri yanıltıcı.,Organizasyon sorumlusunun dile getirdikleri yalan.,Organizasyon sorumlusunun dile getirdikleri yanıltıcı değil.,Organizasyon sorumlusunun dile getirdikleri yalan değil.,"Organizasyon sorumlusunun dile getirdikleri yanıltıcı, hatta yalan.","Organizasyon sorumlusunun dile getirdikleri yanıltıcı, belki de yalan.",Organizasyon sorumlusunun dile getirdikleri yanıltıcı ama yalan değil.,"Organizasyon sorumlusunun dile getirdikleri yalan değil, hatta yanıltıcı bile değil.","Organizasyon sorumlusunun dile getirdikleri yalan değil, belki yanıltıcı bile değil.",Organizasyon sorumlusunun dile getirdikleri yalan değil ama yanıltıcı.
yanıltıcı-yalan,Tasarım ekibinin sunduğu projeler yanıltıcı.,Tasarım ekibinin sunduğu projeler yalan.,Tasarım ekibinin sunduğu projeler yanıltıcı değil.,Tasarım ekibinin sunduğu projeler yalan değil.,"Tasarım ekibinin sunduğu projeler yanıltıcı, hatta yalan.","Tasarım ekibinin sunduğu projeler yanıltıcı, belki de yalan.",Tasarım ekibinin sunduğu projeler yanıltıcı ama yalan değil.,"Tasarım ekibinin sunduğu projeler yalan değil, hatta yanıltıcı bile değil.","Tasarım ekibinin sunduğu projeler yalan değil, belki yanıltıcı bile değil.",Tasarım ekibinin sunduğu projeler yalan değil ama yanıltıcı.
yanıltıcı-yalan,Büyüme rakamlarımız yanıltıcı.,Büyüme rakamlarımız yalan.,Büyüme rakamlarımız yanıltıcı değil.,Büyüme rakamlarımız yalan değil.,"Büyüme rakamlarımız yanıltıcı, hatta yalan.","Büyüme rakamlarımız yanıltıcı, belki de yalan.",Büyüme rakamlarımız yanıltıcı ama yalan değil.,"Büyüme rakamlarımız yalan değil, hatta yanıltıcı bile değil.","Büyüme rakamlarımız yalan değil, belki yanıltıcı bile değil.",Büyüme rakamlarımız yalan değil ama yanıltıcı.
yanıltıcı-yalan,Geçen yıl açıklanan işsizlik sayıları yanıltıcı.,Geçen yıl açıklanan işsizlik sayıları yalan.,Geçen yıl açıklanan işsizlik sayıları yanıltıcı değil.,Geçen yıl açıklanan işsizlik sayıları yalan değil.,"Geçen yıl açıklanan işsizlik sayıları yanıltıcı, hatta yalan.","Geçen yıl açıklanan işsizlik sayıları yanıltıcı, belki de yalan.",Geçen yıl açıklanan işsizlik sayıları yanıltıcı ama yalan değil.,"Geçen yıl açıklanan işsizlik sayıları yalan değil, hatta yanıltıcı bile değil.","Geçen yıl açıklanan işsizlik sayıları yalan değil, belki yanıltıcı bile değil.",Geçen yıl açıklanan işsizlik sayıları yalan değil ama yanıltıcı.
yanıltıcı-yalan,Eşinin bahsettiği hikayeler yanıltıcıymış.,Eşinin bahsettiği hikayeler yalandı.,Eşinin bahsettiği hikayeler yanıltıcı değilmiş.,Eşinin bahsettiği hikayeler yalan değilmiş.,"Eşinin bahsettiği hikayeler yanıltıcıymış, hatta yalandı.","Eşinin bahsettiği hikayeler yanıltıcıymış, belki de yalandı.",Eşinin bahsettiği hikayeler yanıltıcıymış ama yalan değilmiş.,"Eşinin bahsettiği hikayeler yalan değilmiş, hatta yanıltıcı bile değilmiş.","Eşinin bahsettiği hikayeler yalan değilmiş, belki yanıltıcı bile değilmiş.",Eşinin bahsettiği hikayeler yalan değilmiş ama yanıltıcıymış.
yanıltıcı-yalan,Çay fabrikalarının verileri yanıltıcıydı.,Çay fabrikalarının verileri yalandı.,Çay fabrikalarının verileri yanıltıcı değildi.,Çay fabrikalarının verileri yalan değildi.,"Çay fabrikalarının verileri yanıltıcıydı, hatta yalandı.","Çay fabrikalarının verileri yanıltıcıydı, belki de yalandı.",Çay fabrikalarının verileri yanıltıcıydı ama yalan değildi.,"Çay fabrikalarının verileri yalan değildi, hatta yanıltıcı bile değildi.","Çay fabrikalarının verileri yalan değildi, belki yanıltıcı bile değildi.",Çay fabrikalarının verileri yalan değildi ama yanıltıcıydı.
samimiyetsiz-düşmanca,Karşılamaya gelen ekip samimiyetsizdi.,Karşılamaya gelen ekip düşmancaydı.,Karşılamaya gelen ekip samimiyetsiz değildi.,Karşılamaya gelen ekip düşmanca değildi.,"Karşılamaya gelen ekip samimiyetsizdi, hatta düşmancaydı.","Karşılamaya gelen ekip samimiyetsizdi, belki de düşmancaydı.",Karşılamaya gelen ekip samimiyetsizdi ama düşmanca değildi.,"Karşılamaya gelen ekip düşmanca değildi, hatta samimiyetsiz bile değildi.","Karşılamaya gelen ekip düşmanca değildi, belki samimiyetsiz bile değildi.",Karşılamaya gelen ekip düşmanca değildi ama samimiyetsizdi.
samimiyetsiz-düşmanca,Yeni öğrencilere karşı tutunduğumuz tavır samimiyetsiz.,Yeni öğrencilere karşı tutunduğumuz tavır düşmanca.,Yeni öğrencilere karşı tutunduğumuz tavır samimiyetsiz değil.,Yeni öğrencilere karşı tutunduğumuz tavır düşmanca değil.,"Yeni öğrencilere karşı tutunduğumuz tavır samimiyetsiz, hatta düşmanca.","Yeni öğrencilere karşı tutunduğumuz tavır samimiyetsiz, belki de düşmanca.",Yeni öğrencilere karşı tutunduğumuz tavır samimiyetsiz ama düşmanca değil.,"Yeni öğrencilere karşı tutunduğumuz tavır düşmanca değil, hatta samimiyetsiz bile değil.","Yeni öğrencilere karşı tutunduğumuz tavır düşmanca değil, belki samimiyetsiz bile değil.",Yeni öğrencilere karşı tutunduğumuz tavır düşmanca değil ama samimiyetsiz.
samimiyetsiz-düşmanca,Yönetim kurulunun tutumu samimiyetsiz.,Yönetim kurulunun tutumu düşmancaydı.,Yönetim kurulunun tutumu samimiyetsiz değil.,Yönetim kurulunun tutumu düşmanca değil.,"Yönetim kurulunun tutumu samimiyetsiz, hatta düşmancaydı.","Yönetim kurulunun tutumu samimiyetsiz, belki de düşmancaydı.",Yönetim kurulunun tutumu samimiyetsiz ama düşmanca değil.,"Yönetim kurulunun tutumu düşmanca değil, hatta samimiyetsiz bile değil.","Yönetim kurulunun tutumu düşmanca değil, belki samimiyetsiz bile değil.",Yönetim kurulunun tutumu düşmanca değil ama samimiyetsiz.
samimiyetsiz-düşmanca,Resepsiyon görevlisi ilk gün samimiyetsizdi.,Resepsiyon görevlisi ilk gün düşmancaydı.,Resepsiyon görevlisi ilk gün samimiyetsiz değildi.,Resepsiyon görevlisi ilk gün düşmanca değildi.,"Resepsiyon görevlisi ilk gün samimiyetsizdi, hatta düşmancaydı.","Resepsiyon görevlisi ilk gün samimiyetsizdi, belki de düşmancaydı.",Resepsiyon görevlisi ilk gün samimiyetsizdi ama düşmanca değildi.,"Resepsiyon görevlisi ilk gün düşmanca değildi, hatta samimiyetsiz bile değildi.","Resepsiyon görevlisi ilk gün düşmanca değildi, belki samimiyetsiz bile değildi.",Resepsiyon görevlisi ilk gün düşmanca değildi ama samimiyetsizdi.
samimiyetsiz-düşmanca,Fuar alanındaki görevliler samimiyetsizdi.,Fuar alanındaki görevliler düşmancaydı.,Fuar alanındaki görevliler samimiyetsiz değildi.,Fuar alanındaki görevliler düşmanca değildi.,"Fuar alanındaki görevliler samimiyetsizdi, hatta düşmancaydı.","Fuar alanındaki görevliler samimiyetsizdi, belki de düşmancaydı.",Fuar alanındaki görevliler samimiyetsizdi ama düşmanca değildi.,"Fuar alanındaki görevliler düşmanca değildi, hatta samimiyetsiz bile değildi.","Fuar alanındaki görevliler düşmanca değildi, belki samimiyetsiz bile değildi.",Fuar alanındaki görevliler düşmanca değildi ama samimiyetsizdi.
samimiyetsiz-düşmanca,Kampüsün sahipleri samimiyetsizmiş.,Kampüsün sahipleri düşmancaymış.,Kampüsün sahipleri samimiyetsiz değilmiş.,Kampüsün sahipleri düşmanca değilmiş.,"Kampüsün sahipleri samimiyetsizmiş, hatta düşmancaymış.","Kampüsün sahipleri samimiyetsizmiş, belki de düşmancaymış.",Kampüsün sahipleri samimiyetsizmiş ama düşmanca değilmiş.,"Kampüsün sahipleri düşmanca değilmiş, hatta samimiyetsiz bile değilmiş.","Kampüsün sahipleri düşmanca değilmiş, belki samimiyetsiz bile değilmiş.",Kampüsün sahipleri düşmanca değilmiş ama samimiyetsizmiş.
