scale,A,B,C,D,D2,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement,C_implicature_1,C_implicature_2,C_implicature_3
yirmi beş-kırk,Kardeşimin yirmi dört kalemi kırıldı.,Kardeşimin kırk kalemi kırıldı.,Kardeşimin yirmi dört kalemi kırılmadı.,Kardeşimin kırk kalemi kırılmadı.,Kardeşimin yirmi dörtten fazla kalemi kırılmadı.,"Kardeşimin yirmi dört kalemi kırıldı, hatta kırk kalemi kırıldı.","Kardeşimin yirmi dört kalemi kırıldı, belki de kırk kalemi kırıldı.",Kardeşimin yirmi dört kalemi kırıldı ama kırk kalemi kırılmadı.,"Kardeşimin kırk kalemi kırılmadı, hatta yirmi dört kalemi bile kırılmadı.","Kardeşimin kırk kalemi kırılmadı, belki yirmi dört kalemi bile kırılmadı.",Kardeşimin kırk kalemi kırılmadı ama yirmi dört kalemi kırıldı.,Kardeşimin yirmi dörtten az kalemi kırıldı.,Kardeşimin en fazla yirmi üç kalemi kırıldı.,Kardeşimin en az bir kalemi kırıldı.
yirmi beş-kırk,Defterin yirmi beş sayfası yırtık.,Defterin kırk sayfası yırtık.,Defterin yirmi beş sayfası yırtık değil.,Defterin kırk sayfası yırtık değil.,Defterin yirmi beşten fazla sayfası yırtık değil.,"Defterin yirmi beş sayfası yırtık, hatta kırk sayfası yırtık.","Defterin yirmi beş sayfası yırtık, belki de kırk sayfası yırtık.",Defterin yirmi beş sayfası yırtık ama kırk sayfası yırtık değil.,"Defterin kırk sayfası yırtık değil, hatta yirmi beş sayfası bile yırtık değil.","Defterin kırk sayfası yırtık değil, belki yirmi beş sayfası bile yırtık değil.",Defterin kırk sayfası yırtık değil ama yirmi beş sayfası yırtık.,Defterin yirmi beşten azı sayfası yırtık.,Defterin en fazla yirmi dördü sayfası yırtık.,Defterin en az bir sayfası yırtık.
yirmi beş-kırk,Yirmi beşiniz burada beklemeli.,Kırkınız burada beklemeli.,Yirmi beşiniz burada beklememeli.,Kırkınız burada beklememeli.,Yirmi beşten fazlanız burada beklememeli.,"Yirmi beşiniz burada beklemeli, hatta kırkınız burada beklemeli.","Yirmi beşiniz burada beklemeli, belki de kırkınız burada beklemeli.",Yirmi beşiniz burada beklemeli ama kırkınız burada beklememeli.,"Kırkınız burada beklememeli, hatta yirmi beşiniz bile burada beklememeli.","Kırkınız burada beklememeli, belki yirmi beşiniz bile burada beklememeli.",Kırkınız burada beklememeli ama yirmi beşiniz burada beklemeli.,Yirmi beşten azınız burada beklemeli.,En fazla yirmi dördünüz burada beklemeli.,En az biriniz burada beklemeli.
otuz-altmış,Dairelerin otuzu satılmış.,Dairelerin altmışı satılmış.,Dairelerin otuzu satılmamış.,Dairelerin altmışı satılmamış.,Dairelerin otuzundan fazlası satılmamış.,"Dairelerin otuzu satılmış, hatta altmışı satılmış.","Dairelerin otuzu satılmış, belki de altmışı satılmış.",Dairelerin otuzu satılmış ama altmışı satılmamış.,"Dairelerin altmışı satılmamış, hatta otuzu satılmamış.","Dairelerin altmışı satılmamış, belki otuzu satılmamış.",Dairelerin altmışı satılmamış ama otuzu satılmış.,Dairelerin otuzundan azı satılmış.,Dairelerin en fazla yirmi dokuzu satılmış.,Dairelerin en az biri satılmış.
otuz-altmış,Topların otuzunun havası inmiş.,Topların altmışının havası inmiş.,Topların otuzunun havası inmemiş.,Topların altmışının havası inmemiş.,Topların otuzundan fazlasının havası inmemiş.,"Topların otuzunun havası inmiş, hatta altmışının havası inmiş.","Topların otuzunun havası inmiş, belki de altmışının havası inmiş.",Topların otuzunun havası inmiş ama altmışının havası inmemiş.,"Topların altmışının havası inmemiş, hatta otuzunun havası inmemiş.","Topların altmışının havası inmemiş, belki otuzunun havası inmemiş.",Topların altmışının havası inmemiş ama otuzunun havası inmiş.,Topların otuzundan azının havası inmiş.,Topların en fazla yirmi dokuzunun havası inmiş.,Topların en az birinin havası inmiş.
otuz-altmış,Kurt türlerinin otuzu tehlike altında.,Kurt türlerinin altmışı tehlike altında.,Kurt türlerinin otuzu tehlike altında değil.,Kurt türlerinin altmışı tehlike altında değil.,Kurt türlerinin otuzundan fazlası tehlike altında değil.,"Kurt türlerinin otuzu tehlike altında, hatta altmışı tehlike altında.","Kurt türlerinin otuzu tehlike altında, belki de altmışı tehlike altında.",Kurt türlerinin otuzu tehlike altında ama altmışı tehlike altında değil.,"Kurt türlerinin altmışı tehlike altında değil, hatta otuzu tehlike altında değil.","Kurt türlerinin altmışı tehlike altında değil, belki otuzu tehlike altında değil.",Kurt türlerinin altmışı tehlike altında değil ama otuzu tehlike altında.,Kurt türlerinin otuzundan azı tehlike altında.,Kurt türlerinin en fazla yirmi dokuzu tehlike altında.,Kurt türlerinin en az biri tehlike altında.
otuz-altmış,Pizza paketlerinin otuzu kırmızı renkli.,Pizza paketlerinin altmışı kırmızı renkli.,Pizza paketlerinin otuzu kırmızı renkli değil.,Pizza paketlerinin altmışı kırmızı renkli değil.,Pizza paketlerinin otuzundan fazlası kırmızı renkli değil.,"Pizza paketlerinin otuzu kırmızı renkli, hatta altmışı kırmızı renkli.","Pizza paketlerinin otuzu kırmızı renkli, belki de altmışı kırmızı renkli.",Pizza paketlerinin otuzu kırmızı renkli ama altmışı kırmızı renkli değil.,"Pizza paketlerinin altmışı kırmızı renkli değil, hatta otuzu kırmızı renkli değil.","Pizza paketlerinin altmışı kırmızı renkli değil, belki otuzu kırmızı renkli değil.",Pizza paketlerinin altmışı kırmızı renkli değil ama otuzu kırmızı renkli.,Pizza paketlerinin otuzundan azı kırmızı renkli.,Pizza paketlerinin en fazla yirmi dokuzu kırmızı renkli.,Pizza paketlerinin en az biri kırmızı renkli.
otuz-altmış,Masa örtülerinin otuzu kare.,Masa örtülerinin altmışı kare.,Masa örtülerinin otuzu kare değil.,Masa örtülerinin altmışı kare değil.,Masa örtülerinin otuzundan fazlası kare değil.,"Masa örtülerinin otuzu kare, hatta altmışı kare.","Masa örtülerinin otuzu kare, belki de altmışı kare.",Masa örtülerinin otuzu kare ama altmışı kare değil.,"Masa örtülerinin altmışı kare değil, hatta otuzu kare değil.","Masa örtülerinin altmışı kare değil, belki otuzu kare değil.",Masa örtülerinin altmışı kare değil ama otuzu kare.,Masa örtülerinin otuzundan azı kare.,Masa örtülerinin en fazla yirmi dokuzu kare.,Masa örtülerinin en az biri kare.
otuz-altmış,Üniversitede aldığı derslerin otuzu mühendislik dersi.,Üniversitede aldığı derslerin altmışı mühendislik dersi.,Üniversitede aldığı derslerin otuzu mühendislik dersi değil.,Üniversitede aldığı derslerin altmışı mühendislik dersi değil.,Üniversitede aldığı derslerin otuzundan fazlası mühendislik dersi değil.,"Üniversitede aldığı derslerin otuzu mühendislik dersi, hatta altmışı mühendislik dersi.","Üniversitede aldığı derslerin otuzu mühendislik dersi, belki de altmışı mühendislik dersi.",Üniversitede aldığı derslerin otuzu mühendislik dersi ama altmışı mühendislik dersi değil.,"Üniversitede aldığı derslerin altmışı mühendislik dersi değil, hatta otuzu mühendislik dersi değil.","Üniversitede aldığı derslerin altmışı mühendislik dersi değil, belki otuzu mühendislik dersi değil.",Üniversitede aldığı derslerin altmışı mühendislik dersi değil ama otuzu mühendislik dersi.,Üniversitede aldığı derslerin otuzundan azı mühendislik dersi.,Üniversitede aldığı derslerin en fazla yirmi dokuzu mühendislik dersi.,Üniversitede aldığı derslerin en az biri mühendislik dersi.
otuz-altmış,Katılımcıların otuzu sanatkar.,Katılımcıların altmışı sanatkar.,Katılımcıların otuzu sanatkar değil.,Katılımcıların altmışı sanatkar değil.,Katılımcıların otuzdan fazlası sanatkar değil.,"Katılımcıların otuzu sanatkar, hatta altmışı sanatkar.","Katılımcıların otuzu sanatkar, belki de altmışı sanatkar.",Katılımcıların otuzu sanatkar ama altmışı sanatkar değil.,"Katılımcıların altmışı sanatkar değil, hatta otuzu bile sanatkar değil.","Katılımcıların altmışı sanatkar değil, belki otuzu bile sanatkar değil.",Katılımcıların altmışı sanatkar değil ama otuzu sanatkar.,Katılımcıların otuzundan azı sanatkar.,Katılımcıların en fazla yirmi dokuzu sanatkar.,Katılımcıların en az biri sanatkar.
otuz-altmış,Sınıflardan otuzunda resim yapılıyor.,Sınıflardan altmışında resim yapılıyor.,Sınıflardan otuzunda resim yapılmıyor.,Sınıflardan altmışında resim yapılmıyor.,Sınıflardan otuzdan fazlasında resim yapılmıyor.,"Sınıflardan otuzunda resim yapılıyor, hatta altmışında resim yapılıyor.","Sınıflardan otuzunda resim yapılıyor, belki de altmışında resim yapılıyor.",Sınıflardan otuzunda resim yapılıyor ama altmışında resim yapılmıyor.,"Sınıflardan altmışında resim yapılmıyor, hatta otuzunda bile resim yapılmıyor.","Sınıflardan altmışında resim yapılmıyor, belki otuzunda bile resim yapılmıyor.",Sınıflardan altmışında resim yapılmıyor ama otuzunda resim yapılıyor.,Sınıflardan otuzundan azında resim yapılıyor.,Sınıflardan en fazla yirmi dokuzunda resim yapılıyor.,Sınıflardan en az birinde resim yapılıyor.
otuz-altmış,Kulüplerin otuzunda fotoğraf çekimi yasak.,Kulüplerin altmışında fotoğraf çekimi yasak.,Kulüplerin otuzunda fotoğraf çekimi serbest.,Kulüplerin altmışında fotoğraf çekimi serbest.,Kulüplerin otuzdan fazlasında fotoğraf çekimi serbest.,"Kulüplerin otuzunda fotoğraf çekimi yasak, hatta altmışında fotoğraf çekimi yasak.","Kulüplerin otuzunda fotoğraf çekimi yasak, belki de altmışında fotoğraf çekimi yasak.",Kulüplerin otuzunda fotoğraf çekimi yasak ama altmışında fotoğraf çekimi serbest.,"Kulüplerin altmışında fotoğraf çekimi serbest, hatta otuzunda bile fotoğraf çekimi serbest.","Kulüplerin altmışında fotoğraf çekimi serbest, belki otuzunda bile fotoğraf çekimi serbest.",Kulüplerin altmışında fotoğraf çekimi serbest ama otuzunda fotoğraf çekimi yasak.,Kulüplerin otuzundan azında fotoğraf çekimi yasak.,Kulüplerin en fazla yirmi dokuzunda fotoğraf çekimi yasak.,Kulüplerin en az birinde fotoğraf çekimi yasak.
otuz-altmış,Yapıların otuzu depreme dayanıksız.,Yapıların altmışı depreme dayanıksız.,Yapıların otuzu depreme dayanıksız değil.,Yapıların altmışı depreme dayanıksız değil.,Yapıların otuzdan fazlası depreme dayanıksız değil.,"Yapıların otuzu depreme dayanıksız, hatta altmışı depreme dayanıksız.","Yapıların otuzu depreme dayanıksız, belki de altmışı depreme dayanıksız.",Yapıların otuzu depreme dayanıksız ama altmışı depreme dayanıksız değil.,"Yapıların altmışı depreme dayanıksız değil, hatta otuzu bile depreme dayanıksız değil.","Yapıların altmışı depreme dayanıksız değil, belki otuzu bile depreme dayanıksız değil.",Yapıların altmışı depreme dayanıksız değil ama otuzu depreme dayanıksız.,Yapıların otuzundan azı depreme dayanıksız.,Yapıların en fazla yirmi dokuzu depreme dayanıksız.,Yapıların en az biri depreme dayanıksız.
elli-yetmiş,Futbolcuların ellisi forvet oyuncusu.,Futbolcuların yetmişi forvet oyuncusu.,Futbolcuların ellisi forvet oyuncusu değil.,Futbolcuların yetmişi forvet oyuncusu değil.,Futbolcuların ellisinden fazlası forvet oyuncusu değil.,"Futbolcuların ellisi forvet oyuncusu, hatta yetmişi forvet oyuncusu.","Futbolcuların ellisi forvet oyuncusu, belki de yetmişi forvet oyuncusu.",Futbolcuların ellisi forvet oyuncusu ama yetmişi forvet oyuncusu değil.,"Futbolcuların yetmişi forvet oyuncusu değil, hatta ellisi forvet oyuncusu değil.","Futbolcuların yetmişi forvet oyuncusu değil, belki ellisi forvet oyuncusu değil.",Futbolcuların yetmişi forvet oyuncusu değil ama ellisi forvet oyuncusu.,Futbolcuların ellisinden azı forvet oyuncusu.,Futbolcuların en fazla kırk dokuzu forvet oyuncusu.,Futbolcuların en az biri forvet oyuncusu.
elli-yetmiş,Galerideki arabalardan ellisi dizel.,Galerideki arabalardan yetmişi dizel.,Galerideki arabalardan ellisi dizel değil.,Galerideki arabalardan yetmişi dizel değil.,Galerideki arabalardan ellisinden fazlası dizel değil.,"Galerideki arabalardan ellisi dizel, hatta yetmişi dizel.","Galerideki arabalardan ellisi dizel, belki de yetmişi dizel.",Galerideki arabalardan ellisi dizel ama yetmişi dizel değil.,"Galerideki arabalardan yetmişi dizel değil, hatta ellisi dizel değil.","Galerideki arabalardan yetmişi dizel değil, belki ellisi dizel değil.",Galerideki arabalardan yetmişi dizel değil ama ellisi dizel.,Galerideki arabalardan ellisinden azı dizel.,Galerideki arabalardan en fazla kırk dokuzu dizel.,Galerideki arabalardan en az biri dizel.
elli-yetmiş,Seçmenlerin ellisi buraya kayıtlı.,Seçmenlerin yetmişi buraya kayıtlı.,Seçmenlerin ellisi buraya kayıtlı değil.,Seçmenlerin yetmişi buraya kayıtlı değil.,Seçmenlerin ellisinden fazlası buraya kayıtlı değil.,"Seçmenlerin ellisi buraya kayıtlı, hatta yetmişi buraya kayıtlı.","Seçmenlerin ellisi buraya kayıtlı, belki de yetmişi buraya kayıtlı.",Seçmenlerin ellisi buraya kayıtlı ama yetmişi buraya kayıtlı değil.,"Seçmenlerin yetmişi buraya kayıtlı değil, hatta ellisi buraya kayıtlı değil.","Seçmenlerin yetmişi buraya kayıtlı değil, belki ellisi buraya kayıtlı değil.",Seçmenlerin yetmişi buraya kayıtlı değil ama ellisi buraya kayıtlı.,Seçmenlerin ellisinden azı buraya kayıtlı.,Seçmenlerin en fazla kırk dokuzu buraya kayıtlı.,Seçmenlerin en az biri buraya kayıtlı.
elli-yetmiş,Bilgisayar oyunlarının ellisi ücretsiz.,Bilgisayar oyunlarının yetmişi ücretsiz.,Bilgisayar oyunlarının ellisi ücretsiz değil.,Bilgisayar oyunlarının yetmişi ücretsiz değil.,Bilgisayar oyunlarının ellisinden fazlası ücretsiz değil.,"Bilgisayar oyunlarının ellisi ücretsiz, hatta yetmişi ücretsiz.","Bilgisayar oyunlarının ellisi ücretsiz, belki de yetmişi ücretsiz.",Bilgisayar oyunlarının ellisi ücretsiz ama yetmişi ücretsiz değil.,"Bilgisayar oyunlarının yetmişi ücretsiz değil, hatta ellisi ücretsiz değil.","Bilgisayar oyunlarının yetmişi ücretsiz değil, belki ellisi ücretsiz değil.",Bilgisayar oyunlarının yetmişi ücretsiz değil ama ellisi ücretsiz.,Bilgisayar oyunlarının ellisinden azı ücretsiz.,Bilgisayar oyunlarının en fazla kırk dokuzu ücretsiz.,Bilgisayar oyunlarının en az biri ücretsiz.
elli-yetmiş,Kabloların ellisi bakır.,Kabloların yetmişi bakır.,Kabloların ellisi bakır değil.,Kabloların yetmişi bakır değil.,Kabloların ellisinden fazlası bakır değil.,"Kabloların ellisi bakır, hatta yetmişi bakır.","Kabloların ellisi bakır, belki de yetmişi bakır.",Kabloların ellisi bakır ama yetmişi bakır değil.,"Kabloların yetmişi bakır değil, hatta ellisi bakır değil.","Kabloların yetmişi bakır değil, belki ellisi bakır değil.",Kabloların yetmişi bakır değil ama ellisi bakır.,Kabloların ellisinden azı bakır.,Kabloların en fazla kırk dokuzu bakır.,Kabloların en az biri bakır.
elli-yetmiş,Hedeflerin ellisi vurulmuş.,Hedeflerin yetmişi vurulmuş.,Hedeflerin ellisi vurulmamış.,Hedeflerin yetmişi vurulmamış.,Hedeflerin ellisinden fazlası vurulmamış.,"Hedeflerin ellisi vurulmuş, hatta yetmişi vurulmuş.","Hedeflerin ellisi vurulmuş, belki de yetmişi vurulmuş.",Hedeflerin ellisi vurulmuş ama yetmişi vurulmamış.,"Hedeflerin yetmişi vurulmamış, hatta ellisi vurulmamış.","Hedeflerin yetmişi vurulmamış, belki ellisi vurulmamış.",Hedeflerin yetmişi vurulmamış ama ellisi vurulmuş.,Hedeflerin ellisinden azı vurulmuş.,Hedeflerin en fazla kırk dokuzu vurulmuş.,Hedeflerin en az biri vurulmuş.
elli-yetmiş,Atların ellisi kahverengi.,Atların yetmişi kahverengi.,Atların ellisi kahverengi değil.,Atların yetmişi kahverengi değil.,Atların ellisinden fazlası kahverengi değil.,"Atların ellisi kahverengi, hatta yetmişi kahverengi.","Atların ellisi kahverengi, belki de yetmişi kahverengi.",Atların ellisi kahverengi ama yetmişi kahverengi değil.,"Atların yetmişi kahverengi değil, hatta ellisi kahverengi değil.","Atların yetmişi kahverengi değil, belki ellisi kahverengi değil.",Atların yetmişi kahverengi değil ama ellisi kahverengi.,Atların ellisinden azı kahverengi.,Atların en fazla kırk dokuzu kahverengi.,Atların en az biri kahverengi.
elli-yetmiş,Kitaptaki üçgenlerin ellisi dik açılı.,Kitaptaki üçgenlerin yetmişi dik açılı.,Kitaptaki üçgenlerin ellisi dik açılı değil.,Kitaptaki üçgenlerin yetmişi dik açılı değil.,Kitaptaki üçgenlerin ellisinden fazlası dik açılı değil.,"Kitaptaki üçgenlerin ellisi dik açılı, hatta yetmişi dik açılı.","Kitaptaki üçgenlerin ellisi dik açılı, belki de yetmişi dik açılı.",Kitaptaki üçgenlerin ellisi dik açılı ama yetmişi dik açılı değil.,"Kitaptaki üçgenlerin yetmişi dik açılı değil, hatta ellisi dik açılı değil.","Kitaptaki üçgenlerin yetmişi dik açılı değil, belki ellisi dik açılı değil.",Kitaptaki üçgenlerin yetmişi dik açılı değil ama ellisi dik açılı.,Kitaptaki üçgenlerin ellisinden azı dik açılı.,Kitaptaki üçgenlerin en fazla kırk dokuzu dik açılı.,Kitaptaki üçgenlerin en az biri dik açılı.
elli-yetmiş,Kalemlerin ellisi siyah yazıyor.,Kalemlerin yetmişi siyah yazıyor.,Kalemlerin ellisi siyah yazmıyor.,Kalemlerin yetmişi siyah yazmıyor.,Kalemlerin ellisinden fazlası siyah yazmıyor.,"Kalemlerin ellisi siyah yazıyor, hatta yetmişi siyah yazıyor.","Kalemlerin ellisi siyah yazıyor, belki de yetmişi siyah yazıyor.",Kalemlerin ellisi siyah yazıyor ama yetmişi siyah yazmıyor.,"Kalemlerin yetmişi siyah yazmıyor, hatta ellisi siyah yazmıyor.","Kalemlerin yetmişi siyah yazmıyor, belki ellisi siyah yazmıyor.",Kalemlerin yetmişi siyah yazmıyor ama ellisi siyah yazıyor.,Kalemlerin ellisinden azı siyah yazıyor.,Kalemlerin en fazla kırk dokuzu siyah yazıyor.,Kalemlerin en az biri siyah yazıyor.
elli-yetmiş,Fabrikadaki elli kişiyle tartışmış.,Fabrikadaki yetmiş kişiyle tartışmış.,Fabrikadaki elli kişiyle tartışmamış.,Fabrikadaki yetmiş kişiyle tartışmamış.,Fabrikadaki elli kişiden fazlasıyla tartışmamış.,"Fabrikadaki elli kişiyle tartışmış, hatta yetmiş kişiyle tartışmış.","Fabrikadaki elli kişiyle tartışmış, belki de yetmiş kişiyle tartışmış.",Fabrikadaki elli kişiyle tartışmış ama yetmiş kişiyle tartışmamış.,"Fabrikadaki yetmiş kişiyle tartışmamış, hatta elli kişiyle bile tartışmamış.","Fabrikadaki yetmiş kişiyle tartışmamış, belki elli kişiyle bile tartışmamış.",Fabrikadaki yetmiş kişiyle tartışmamış ama elli kişiyle tartışmış.,Fabrikadaki elli kişiden azıyla tartışmış.,Fabrikadaki en fazla kırk dokuz kişiyle tartışmış.,Fabrikadaki en az biriyle tartışmış.
